"Estado","% Ocupación"
"Ciudad de México","74.89"
"México","70.14"
"Guerrero","60.72"
"Tlaxcala","58.72"
"Sonora","57.42"
"Morelos","55.03"
"Baja California","54.76"
"Puebla","54.74"
"Guanajuato","50.48"
"Tabasco","49.00"
"Veracruz de Ignacio de La Llave","47.78"
"Oaxaca","46.28"
"Hidalgo","44.70"
"Nayarit","42.35"
"Sinaloa","39.68"
"Coahuila de Zaragoza","38.95"
"Michoacán de Ocampo","37.81"
"Chiapas","36.48"
"Jalisco","32.53"
"Colima","32.20"
"Yucatán","31.87"
"Nuevo León","29.56"
"Querétaro","26.26"
"Aguascalientes","24.50"
"Campeche","23.89"
"Tamaulipas","23.52"
"Durango","22.59"
"Quintana Roo","22.42"
"Chihuahua","18.07"
"San Luis Potosí","16.14"
"Zacatecas","15.57"
"Baja California Sur","7.22"
