"Estado","% Ocupación"
"Ciudad de México","88.40"
"México","84.37"
"Hidalgo","82.41"
"Puebla","80.58"
"Guanajuato","80.45"
"Nuevo León","79.12"
"Morelos","76.77"
"Nayarit","73.40"
"Guerrero","70.74"
"Querétaro","62.87"
"Veracruz de Ignacio de La Llave","55.26"
"Oaxaca","53.38"
"Michoacán de Ocampo","52.47"
"Jalisco","51.70"
"Baja California Sur","50.36"
"Aguascalientes","46.21"
"Tlaxcala","45.39"
"Sonora","45.31"
"Colima","43.87"
"Zacatecas","43.66"
"Coahuila de Zaragoza","43.24"
"Baja California","42.87"
"San Luis Potosí","38.83"
"Sinaloa","37.69"
"Durango","35.91"
"Tamaulipas","31.07"
"Quintana Roo","28.71"
"Tabasco","26.39"
"Chihuahua","22.30"
"Yucatán","14.66"
"Chiapas","13.28"
"Campeche","7.47"
