"Estado","% Ocupación"
"Ciudad de México","41.04"
"México","31.05"
"Nayarit","29.62"
"Baja California","27.58"
"Sinaloa","23.57"
"Coahuila de Zaragoza","20.00"
"Baja California Sur","19.60"
"Tlaxcala","17.94"
"Quintana Roo","16.52"
"Puebla","14.91"
"Durango","13.72"
"Morelos","12.98"
"Chiapas","12.50"
"Chihuahua","12.12"
"Michoacán de Ocampo","11.76"
"Oaxaca","11.29"
"Guerrero","11.11"
"Hidalgo","9.09"
"Sonora","8.18"
"Veracruz de Ignacio de La Llave","7.93"
"Querétaro","6.96"
"Tabasco","6.34"
"San Luis Potosí","5.88"
"Tamaulipas","5.63"
"Guanajuato","5.49"
"Yucatán","5.09"
"Jalisco","4.98"
"Campeche","3.57"
"Aguascalientes","1.47"
"Nuevo León","0.86"
"Colima","0.50"
"Zacatecas","0.00"
