"Estado","% Ocupación"
"Ciudad de México","54.09"
"Veracruz de Ignacio de La Llave","40.00"
"Chiapas","33.33"
"Aguascalientes","33.33"
"Morelos","31.25"
"Yucatán","25.00"
"Sinaloa","25.00"
"Chihuahua","20.00"
"Coahuila de Zaragoza","17.64"
"México","17.34"
"Sonora","16.66"
"Oaxaca","16.66"
"Baja California Sur","16.66"
"Michoacán de Ocampo","11.42"
"Puebla","11.11"
"Guerrero","11.11"
"Quintana Roo","9.09"
"Durango","9.09"
"Jalisco","8.51"
"Nuevo León","6.89"
"Guanajuato","4.34"
"Tabasco","0.00"
"Tlaxcala","0.00"
"Hidalgo","0.00"
"San Luis Potosí","0.00"
"Campeche","0.00"
"Querétaro","0.00"
"Colima","0.00"
"Zacatecas","0.00"
"Nayarit","0.00"
"Baja California","0.00"
"Tamaulipas","0.00"
