"Estado","% Ocupación"
"Querétaro","80.00"
"Ciudad de México","54.56"
"Yucatán","44.11"
"México","39.90"
"Puebla","38.06"
"Chihuahua","35.55"
"Zacatecas","33.33"
"Tabasco","33.33"
"Durango","32.43"
"Aguascalientes","29.31"
"Oaxaca","26.47"
"Morelos","26.08"
"Veracruz de Ignacio de La Llave","22.50"
"Baja California","21.73"
"San Luis Potosí","21.51"
"Sinaloa","21.10"
"Jalisco","18.32"
"Tamaulipas","17.82"
"Hidalgo","16.92"
"Colima","16.66"
"Guerrero","16.36"
"Quintana Roo","16.21"
"Nuevo León","15.84"
"Sonora","13.23"
"Michoacán de Ocampo","12.12"
"Guanajuato","9.75"
"Coahuila de Zaragoza","9.09"
"Chiapas","6.34"
"Baja California Sur","0.00"
"Campeche","0.00"
"Nayarit","0.00"
"Tlaxcala","0.00"
