"Estado","% Ocupación"
"Ciudad de México","55.56"
"México","43.94"
"Colima","42.85"
"Morelos","42.10"
"Aguascalientes","40.60"
"Tlaxcala","39.43"
"Oaxaca","38.79"
"Nuevo León","35.65"
"Querétaro","35.27"
"Michoacán de Ocampo","34.45"
"Yucatán","34.19"
"San Luis Potosí","33.85"
"Tabasco","32.12"
"Veracruz de Ignacio de La Llave","30.75"
"Hidalgo","30.39"
"Jalisco","29.32"
"Puebla","28.22"
"Zacatecas","25.78"
"Guanajuato","23.06"
"Durango","22.85"
"Sinaloa","22.74"
"Chihuahua","21.70"
"Guerrero","20.35"
"Baja California","17.57"
"Coahuila de Zaragoza","16.83"
"Nayarit","16.78"
"Tamaulipas","15.56"
"Baja California Sur","15.46"
"Sonora","10.60"
"Campeche","8.27"
"Quintana Roo","8.23"
"Chiapas","5.14"
