"Estado","% Ocupación"
"Nuevo León","46.74"
"Nayarit","44.75"
"Ciudad de México","41.22"
"Colima","39.39"
"Guerrero","35.08"
"México","34.80"
"Michoacán de Ocampo","32.25"
"Hidalgo","31.73"
"Coahuila de Zaragoza","30.46"
"Durango","29.39"
"Oaxaca","29.08"
"Veracruz de Ignacio de La Llave","28.93"
"Puebla","27.98"
"Chihuahua","25.17"
"Tamaulipas","23.45"
"Sinaloa","23.16"
"Jalisco","22.63"
"Guanajuato","22.56"
"Zacatecas","21.95"
"Querétaro","21.51"
"Baja California Sur","20.58"
"Baja California","20.46"
"San Luis Potosí","20.31"
"Morelos","19.95"
"Aguascalientes","18.73"
"Tabasco","17.52"
"Quintana Roo","17.21"
"Sonora","16.69"
"Yucatán","15.69"
"Tlaxcala","9.72"
"Chiapas","4.55"
"Campeche","4.24"
