"Estado","% Ocupación"
"Ciudad de México","66.20"
"Aguascalientes","58.10"
"Baja California","53.57"
"México","51.13"
"Zacatecas","49.35"
"Nuevo León","46.80"
"Querétaro","44.96"
"Durango","44.55"
"Coahuila de Zaragoza","40.52"
"Sonora","34.21"
"Hidalgo","30.54"
"Jalisco","30.06"
"Chihuahua","29.97"
"Oaxaca","29.41"
"Tlaxcala","29.13"
"San Luis Potosí","28.87"
"Michoacán de Ocampo","24.40"
"Sinaloa","22.22"
"Morelos","21.67"
"Guanajuato","21.57"
"Yucatán","19.67"
"Tabasco","19.42"
"Baja California Sur","15.65"
"Veracruz de Ignacio de La Llave","15.28"
"Puebla","14.15"
"Tamaulipas","13.36"
"Colima","10.89"
"Guerrero","7.20"
"Quintana Roo","7.08"
"Nayarit","4.90"
"Chiapas","2.31"
"Campeche","1.17"
