"Estado","% Ocupación"
"Chihuahua","54.33"
"Colima","45.37"
"Ciudad de México","43.89"
"Aguascalientes","42.21"
"Nuevo León","41.21"
"Durango","38.63"
"Oaxaca","29.25"
"México","29.01"
"Coahuila de Zaragoza","28.17"
"Baja California","28.10"
"San Luis Potosí","27.77"
"Michoacán de Ocampo","27.75"
"Querétaro","25.17"
"Zacatecas","24.09"
"Morelos","21.64"
"Jalisco","19.89"
"Tlaxcala","18.32"
"Veracruz de Ignacio de La Llave","18.20"
"Sinaloa","17.94"
"Nayarit","17.93"
"Hidalgo","17.72"
"Tabasco","16.89"
"Tamaulipas","16.88"
"Baja California Sur","16.00"
"Sonora","14.71"
"Puebla","13.54"
"Guerrero","13.36"
"Yucatán","12.66"
"Quintana Roo","10.50"
"Guanajuato","8.18"
"Chiapas","3.06"
"Campeche","0.00"
