"Estado","% Ocupación"
"Ciudad de México","55.93"
"Puebla","51.47"
"México","48.16"
"Morelos","43.30"
"Querétaro","34.15"
"Oaxaca","32.10"
"Guerrero","30.45"
"Nuevo León","28.90"
"Michoacán de Ocampo","28.57"
"Hidalgo","28.55"
"Guanajuato","27.24"
"Durango","25.73"
"Veracruz de Ignacio de La Llave","24.55"
"Colima","23.80"
"Aguascalientes","22.29"
"Nayarit","21.33"
"Jalisco","20.95"
"Sinaloa","19.63"
"Zacatecas","19.40"
"Baja California Sur","18.46"
"Tabasco","17.93"
"Tlaxcala","17.29"
"Quintana Roo","15.58"
"Chihuahua","15.41"
"San Luis Potosí","15.11"
"Tamaulipas","14.14"
"Sonora","13.20"
"Yucatán","11.86"
"Coahuila de Zaragoza","9.92"
"Baja California","9.73"
"Chiapas","8.06"
"Campeche","3.71"
