"Estado","% Ocupación"
"Querétaro","77.77"
"Yucatán","72.09"
"Ciudad de México","61.00"
"México","50.96"
"Puebla","47.47"
"Oaxaca","41.17"
"Tabasco","40.98"
"Aguascalientes","39.65"
"Veracruz de Ignacio de La Llave","29.16"
"Durango","28.75"
"Tamaulipas","27.19"
"Nuevo León","25.06"
"Sinaloa","24.77"
"Hidalgo","21.31"
"Morelos","21.15"
"Jalisco","20.38"
"Zacatecas","20.00"
"Chihuahua","19.48"
"Michoacán de Ocampo","19.44"
"Guerrero","19.20"
"San Luis Potosí","17.72"
"Sonora","17.33"
"Colima","16.66"
"Quintana Roo","15.58"
"Tlaxcala","12.50"
"Baja California Sur","12.50"
"Guanajuato","10.63"
"Baja California","9.52"
"Chiapas","7.93"
"Coahuila de Zaragoza","7.27"
"Nayarit","0.00"
"Campeche","0.00"
