"Estado","% Ocupación"
"Ciudad de México","82.19"
"México","73.34"
"Guanajuato","68.21"
"Hidalgo","60.43"
"Baja California","59.19"
"Nuevo León","56.77"
"Durango","55.52"
"Zacatecas","52.33"
"Querétaro","45.41"
"Coahuila de Zaragoza","44.97"
"Sonora","42.09"
"Aguascalientes","38.93"
"Morelos","36.18"
"Puebla","34.49"
"Oaxaca","31.84"
"Guerrero","30.68"
"Jalisco","27.67"
"Nayarit","27.04"
"Chihuahua","26.88"
"Michoacán de Ocampo","24.33"
"Tlaxcala","24.12"
"Tabasco","22.79"
"Veracruz de Ignacio de La Llave","21.82"
"Quintana Roo","20.62"
"Tamaulipas","20.17"
"Baja California Sur","19.92"
"San Luis Potosí","18.88"
"Sinaloa","18.57"
"Colima","13.29"
"Yucatán","10.10"
"Chiapas","4.69"
"Campeche","3.62"
