"Estado","% Ocupación"
"Chihuahua","66.25"
"Aguascalientes","58.54"
"Nuevo León","51.54"
"Durango","48.38"
"Ciudad de México","44.58"
"Zacatecas","40.24"
"Coahuila de Zaragoza","35.54"
"Oaxaca","34.14"
"Querétaro","31.25"
"Baja California","28.95"
"México","28.66"
"San Luis Potosí","25.61"
"Morelos","24.16"
"Colima","23.52"
"Sinaloa","22.90"
"Jalisco","21.26"
"Hidalgo","21.25"
"Guerrero","20.98"
"Tamaulipas","17.26"
"Baja California Sur","16.66"
"Michoacán de Ocampo","15.81"
"Veracruz de Ignacio de La Llave","15.06"
"Tabasco","14.92"
"Puebla","13.52"
"Sonora","13.45"
"Yucatán","11.47"
"Nayarit","10.84"
"Guanajuato","9.92"
"Tlaxcala","9.92"
"Quintana Roo","7.45"
"Chiapas","3.57"
"Campeche","0.56"
