"Estado","% Ocupación"
"Coahuila de Zaragoza","100.00"
"Yucatán","73.91"
"Querétaro","50.00"
"Tabasco","36.66"
"Quintana Roo","33.33"
"Nuevo León","32.92"
"Tamaulipas","31.25"
"México","26.42"
"Zacatecas","25.00"
"Aguascalientes","24.52"
"Oaxaca","23.43"
"Sonora","22.50"
"Sinaloa","22.22"
"Durango","19.64"
"Puebla","19.27"
"Veracruz de Ignacio de La Llave","15.78"
"Campeche","15.62"
"Chihuahua","14.10"
"Jalisco","13.21"
"Michoacán de Ocampo","12.50"
"San Luis Potosí","11.11"
"Baja California","10.41"
"Ciudad de México","8.98"
"Chiapas","7.93"
"Guerrero","7.89"
"Guanajuato","5.35"
"Hidalgo","0.00"
"Tlaxcala","0.00"
"Morelos","0.00"
"Baja California Sur","0.00"
"Colima","0.00"
"Nayarit","0.00"
