"Estado","% Ocupación"
"Ciudad de México","50.16"
"Oaxaca","44.52"
"México","39.47"
"Querétaro","38.77"
"Tabasco","37.20"
"Colima","30.76"
"Tlaxcala","30.53"
"Aguascalientes","29.85"
"Nuevo León","28.99"
"San Luis Potosí","28.91"
"Veracruz de Ignacio de La Llave","28.34"
"Hidalgo","28.18"
"Michoacán de Ocampo","27.24"
"Morelos","26.73"
"Puebla","26.13"
"Chihuahua","25.58"
"Yucatán","22.09"
"Jalisco","21.26"
"Sinaloa","19.06"
"Guerrero","16.52"
"Zacatecas","16.37"
"Durango","16.29"
"Guanajuato","15.47"
"Tamaulipas","15.32"
"Baja California","13.00"
"Baja California Sur","12.91"
"Coahuila de Zaragoza","12.87"
"Nayarit","9.42"
"Chiapas","8.50"
"Quintana Roo","7.11"
"Campeche","6.76"
"Sonora","5.88"
