"Estado","% Ocupación"
"Durango","74.63"
"Chihuahua","73.54"
"Nuevo León","64.45"
"Coahuila de Zaragoza","64.10"
"Zacatecas","61.30"
"Ciudad de México","56.62"
"Aguascalientes","49.31"
"Hidalgo","44.67"
"México","41.68"
"Guanajuato","35.74"
"Querétaro","34.32"
"Baja California","29.93"
"Sonora","28.36"
"Nayarit","26.75"
"Michoacán de Ocampo","26.57"
"Oaxaca","25.80"
"San Luis Potosí","25.00"
"Guerrero","24.94"
"Puebla","23.16"
"Jalisco","21.58"
"Veracruz de Ignacio de La Llave","21.54"
"Sinaloa","20.06"
"Tamaulipas","18.40"
"Tabasco","18.38"
"Morelos","16.66"
"Colima","15.22"
"Baja California Sur","14.28"
"Quintana Roo","12.74"
"Tlaxcala","10.96"
"Yucatán","10.80"
"Chiapas","3.50"
"Campeche","1.78"
