"Estado","% Ocupación"
"Chihuahua","86.02"
"Coahuila de Zaragoza","69.08"
"Durango","68.39"
"Nuevo León","58.60"
"Ciudad de México","49.74"
"Zacatecas","40.90"
"México","40.81"
"Hidalgo","40.70"
"Aguascalientes","38.15"
"Colima","35.14"
"Nayarit","31.25"
"Baja California","28.57"
"Oaxaca","28.46"
"Querétaro","27.44"
"Guerrero","25.56"
"Guanajuato","24.93"
"Michoacán de Ocampo","24.51"
"Jalisco","23.19"
"Sinaloa","21.96"
"Puebla","21.31"
"Sonora","20.13"
"Veracruz de Ignacio de La Llave","19.86"
"San Luis Potosí","18.88"
"Quintana Roo","17.80"
"Morelos","16.70"
"Tabasco","15.89"
"Tamaulipas","14.57"
"Baja California Sur","13.71"
"Tlaxcala","12.36"
"Yucatán","10.00"
"Campeche","3.78"
"Chiapas","3.29"
