"Estado","% Ocupación"
"Ciudad de México","76.01"
"México","56.58"
"Guerrero","55.04"
"Baja California","54.18"
"Veracruz de Ignacio de La Llave","41.45"
"Tabasco","40.83"
"Sinaloa","40.48"
"Morelos","36.34"
"Hidalgo","35.15"
"Quintana Roo","33.82"
"Puebla","29.19"
"Nayarit","28.08"
"Tlaxcala","27.09"
"Yucatán","25.17"
"Chihuahua","22.38"
"Oaxaca","18.10"
"Nuevo León","14.85"
"Sonora","14.66"
"Durango","13.82"
"Coahuila de Zaragoza","13.82"
"Michoacán de Ocampo","13.70"
"Aguascalientes","13.66"
"Chiapas","13.33"
"Querétaro","13.21"
"Campeche","13.16"
"Tamaulipas","12.51"
"Baja California Sur","9.34"
"Guanajuato","8.98"
"Jalisco","8.53"
"Colima","8.02"
"San Luis Potosí","7.95"
"Zacatecas","6.29"
