"Estado","% Ocupación"
"Tlaxcala","100.00"
"Ciudad de México","88.48"
"Querétaro","80.00"
"Zacatecas","80.00"
"Yucatán","73.68"
"Oaxaca","72.72"
"México","71.61"
"Aguascalientes","65.62"
"Nuevo León","64.65"
"Morelos","60.65"
"Guanajuato","60.63"
"Puebla","55.68"
"Durango","52.70"
"Tamaulipas","47.24"
"Tabasco","47.22"
"Veracruz de Ignacio de La Llave","46.15"
"Baja California","44.00"
"Jalisco","43.01"
"Hidalgo","41.89"
"Guerrero","35.84"
"Sinaloa","35.51"
"Chihuahua","35.45"
"Michoacán de Ocampo","30.76"
"San Luis Potosí","30.58"
"Colima","26.08"
"Quintana Roo","25.00"
"Sonora","22.97"
"Chiapas","16.17"
"Coahuila de Zaragoza","15.90"
"Baja California Sur","14.28"
"Campeche","5.88"
"Nayarit","3.33"
