"Estado","% Ocupación"
"Quintana Roo","35.52"
"Ciudad de México","19.37"
"Tabasco","17.49"
"Tamaulipas","16.25"
"Puebla","15.86"
"Morelos","15.10"
"Durango","14.77"
"Nayarit","14.69"
"Guerrero","14.64"
"México","14.13"
"Michoacán de Ocampo","13.18"
"Veracruz de Ignacio de La Llave","12.98"
"Sonora","12.93"
"Baja California Sur","12.40"
"Zacatecas","12.17"
"Nuevo León","11.13"
"Chihuahua","10.41"
"Baja California","10.38"
"Oaxaca","10.30"
"Yucatán","8.61"
"Aguascalientes","8.60"
"Sinaloa","8.46"
"Hidalgo","7.49"
"Querétaro","7.19"
"Chiapas","5.68"
"Jalisco","5.59"
"Tlaxcala","5.48"
"Guanajuato","4.98"
"Campeche","3.16"
"San Luis Potosí","3.15"
"Coahuila de Zaragoza","2.73"
"Colima","2.53"
