"Estado","% Ocupación"
"Querétaro","80.00"
"Ciudad de México","74.35"
"Yucatán","65.78"
"Oaxaca","62.88"
"México","58.45"
"Morelos","50.00"
"Tlaxcala","50.00"
"Puebla","46.76"
"Tamaulipas","39.17"
"Tabasco","36.23"
"Aguascalientes","36.20"
"Hidalgo","31.74"
"Jalisco","31.62"
"Baja California","30.76"
"Nuevo León","30.07"
"Zacatecas","30.00"
"Veracruz de Ignacio de La Llave","30.00"
"San Luis Potosí","27.50"
"Michoacán de Ocampo","27.02"
"Guanajuato","24.73"
"Durango","24.19"
"Guerrero","24.13"
"Sinaloa","23.21"
"Chihuahua","21.49"
"Quintana Roo","17.24"
"Baja California Sur","14.28"
"Sonora","11.86"
"Coahuila de Zaragoza","9.43"
"Chiapas","5.08"
"Campeche","3.12"
"Colima","0.00"
"Nayarit","0.00"
