"Estado","% Ocupación"
"Ciudad de México","80.21"
"México","74.97"
"Guanajuato","65.99"
"Hidalgo","64.62"
"Baja California","62.73"
"Nuevo León","58.54"
"Durango","53.66"
"Querétaro","48.98"
"Sonora","48.54"
"Coahuila de Zaragoza","45.32"
"Aguascalientes","42.88"
"Zacatecas","39.92"
"Oaxaca","39.06"
"Morelos","35.18"
"Puebla","33.62"
"Jalisco","30.29"
"Michoacán de Ocampo","28.13"
"Guerrero","27.79"
"Chihuahua","25.37"
"Tabasco","25.29"
"Nayarit","23.64"
"Tlaxcala","23.57"
"Baja California Sur","23.50"
"Veracruz de Ignacio de La Llave","22.27"
"Quintana Roo","21.27"
"Tamaulipas","21.15"
"Sinaloa","18.86"
"San Luis Potosí","18.02"
"Colima","17.46"
"Yucatán","9.55"
"Chiapas","6.38"
"Campeche","3.57"
