"Estado","% Ocupación"
"Nayarit","54.73"
"Colima","50.89"
"Nuevo León","49.74"
"Ciudad de México","46.86"
"Hidalgo","39.02"
"México","38.78"
"Guerrero","37.13"
"Michoacán de Ocampo","36.42"
"Veracruz de Ignacio de La Llave","35.75"
"Durango","33.54"
"Querétaro","28.39"
"Puebla","28.35"
"Coahuila de Zaragoza","27.17"
"Oaxaca","26.31"
"Zacatecas","26.28"
"Baja California","25.88"
"Sinaloa","25.28"
"Tamaulipas","24.77"
"Aguascalientes","24.64"
"Chihuahua","24.60"
"San Luis Potosí","23.66"
"Baja California Sur","23.10"
"Guanajuato","22.84"
"Morelos","22.16"
"Quintana Roo","20.95"
"Yucatán","20.86"
"Tabasco","20.60"
"Jalisco","20.60"
"Sonora","15.41"
"Tlaxcala","14.72"
"Chiapas","5.48"
"Campeche","5.34"
