"Estado","% Ocupación"
"Ciudad de México","87.33"
"México","81.81"
"Nuevo León","74.83"
"Aguascalientes","60.73"
"Morelos","58.58"
"Hidalgo","57.06"
"Oaxaca","55.14"
"Tlaxcala","52.66"
"Colima","51.68"
"Puebla","51.07"
"San Luis Potosí","50.94"
"Querétaro","49.21"
"Jalisco","47.91"
"Veracruz de Ignacio de La Llave","47.50"
"Tabasco","45.56"
"Baja California","45.45"
"Guanajuato","45.24"
"Nayarit","44.44"
"Coahuila de Zaragoza","42.96"
"Guerrero","41.17"
"Michoacán de Ocampo","40.54"
"Zacatecas","40.47"
"Sonora","39.60"
"Sinaloa","35.49"
"Durango","34.28"
"Baja California Sur","34.03"
"Quintana Roo","28.40"
"Yucatán","25.64"
"Chihuahua","23.13"
"Tamaulipas","20.96"
"Chiapas","14.28"
"Campeche","6.92"
