"Estado","% Ocupación"
"Ciudad de México","65.13"
"México","64.71"
"Sonora","58.65"
"Puebla","57.46"
"Guanajuato","57.19"
"Colima","53.65"
"Tabasco","53.17"
"Veracruz de Ignacio de La Llave","52.38"
"Guerrero","51.76"
"Baja California","50.65"
"Tlaxcala","48.19"
"Nayarit","46.80"
"Nuevo León","43.98"
"Morelos","43.38"
"Coahuila de Zaragoza","42.56"
"Sinaloa","42.19"
"Chiapas","39.51"
"Hidalgo","39.06"
"Yucatán","36.70"
"Oaxaca","36.15"
"Campeche","32.90"
"Tamaulipas","31.50"
"Michoacán de Ocampo","30.69"
"Jalisco","25.40"
"Aguascalientes","24.86"
"Quintana Roo","23.04"
"San Luis Potosí","22.09"
"Durango","21.52"
"Querétaro","20.48"
"Chihuahua","19.28"
"Zacatecas","15.90"
"Baja California Sur","13.47"
