"Estado","% Ocupación"
"Baja California","67.31"
"México","61.71"
"Chiapas","57.89"
"Ciudad de México","57.58"
"Guerrero","48.63"
"Veracruz de Ignacio de La Llave","48.27"
"Puebla","41.43"
"Sinaloa","41.03"
"Nayarit","36.06"
"Tlaxcala","35.84"
"Sonora","35.82"
"Oaxaca","32.25"
"Tabasco","30.09"
"Morelos","29.70"
"Hidalgo","27.61"
"Quintana Roo","26.92"
"Yucatán","25.45"
"Chihuahua","24.46"
"Nuevo León","22.50"
"Querétaro","21.78"
"Tamaulipas","16.50"
"Aguascalientes","13.97"
"Michoacán de Ocampo","13.84"
"San Luis Potosí","13.26"
"Coahuila de Zaragoza","12.02"
"Campeche","12.00"
"Colima","12.00"
"Durango","11.42"
"Baja California Sur","10.86"
"Zacatecas","10.00"
"Jalisco","9.64"
"Guanajuato","6.23"
