"Estado","% Ocupación"
"Tlaxcala","87.50"
"Veracruz de Ignacio de La Llave","76.61"
"México","75.36"
"Querétaro","73.52"
"Ciudad de México","72.81"
"Baja California","66.66"
"Sinaloa","62.92"
"Colima","57.14"
"Puebla","56.25"
"Sonora","56.25"
"Tabasco","55.86"
"San Luis Potosí","55.55"
"Guerrero","54.43"
"Oaxaca","53.08"
"Nuevo León","52.77"
"Yucatán","52.54"
"Morelos","52.00"
"Michoacán de Ocampo","47.36"
"Guanajuato","45.45"
"Zacatecas","45.45"
"Chiapas","41.84"
"Quintana Roo","41.09"
"Chihuahua","37.20"
"Coahuila de Zaragoza","35.71"
"Jalisco","32.64"
"Aguascalientes","32.50"
"Tamaulipas","29.34"
"Durango","28.12"
"Campeche","18.18"
"Hidalgo","15.47"
"Baja California Sur","7.69"
"Nayarit","0.00"
