"Estado","% Ocupación"
"Chihuahua","75.29"
"Durango","66.46"
"Nuevo León","65.90"
"Coahuila de Zaragoza","59.69"
"Ciudad de México","49.76"
"Nayarit","40.35"
"México","39.11"
"Hidalgo","38.86"
"Zacatecas","38.80"
"Guerrero","31.42"
"Colima","31.31"
"Aguascalientes","30.46"
"Querétaro","29.38"
"Baja California","29.26"
"Oaxaca","29.25"
"Guanajuato","26.12"
"Jalisco","25.09"
"Sinaloa","24.51"
"Michoacán de Ocampo","23.92"
"San Luis Potosí","22.89"
"Puebla","22.55"
"Veracruz de Ignacio de La Llave","21.73"
"Quintana Roo","19.79"
"Sonora","17.14"
"Morelos","16.59"
"Tabasco","16.57"
"Baja California Sur","16.47"
"Tamaulipas","16.34"
"Yucatán","13.38"
"Tlaxcala","12.39"
"Campeche","4.09"
"Chiapas","3.04"
