"Estado","% Ocupación"
"Tabasco","78.51"
"Nuevo León","78.19"
"Nayarit","76.62"
"Puebla","69.37"
"Colima","65.00"
"Coahuila de Zaragoza","64.06"
"Veracruz de Ignacio de La Llave","63.29"
"Tamaulipas","59.78"
"Guanajuato","59.42"
"Sonora","56.99"
"Ciudad de México","52.92"
"Tlaxcala","47.77"
"México","47.77"
"Sinaloa","45.93"
"Baja California","43.51"
"Quintana Roo","43.37"
"Oaxaca","42.10"
"Baja California Sur","40.00"
"Yucatán","39.84"
"Campeche","39.50"
"Hidalgo","38.43"
"Guerrero","35.36"
"Chiapas","34.33"
"Michoacán de Ocampo","34.01"
"Durango","31.61"
"Zacatecas","28.70"
"San Luis Potosí","27.53"
"Querétaro","26.76"
"Morelos","26.63"
"Jalisco","24.71"
"Aguascalientes","23.48"
"Chihuahua","20.78"
