"Estado","% Ocupación"
"Nayarit","100.00"
"Querétaro","65.62"
"Tabasco","45.16"
"Chihuahua","37.89"
"Yucatán","37.14"
"Ciudad de México","34.29"
"Aguascalientes","32.75"
"México","31.46"
"Zacatecas","30.00"
"Puebla","24.61"
"Guerrero","24.54"
"Michoacán de Ocampo","24.24"
"Tamaulipas","23.72"
"Nuevo León","21.70"
"Jalisco","21.37"
"Durango","20.63"
"Oaxaca","20.58"
"Quintana Roo","19.67"
"Sinaloa","19.64"
"Veracruz de Ignacio de La Llave","17.53"
"Colima","16.66"
"Sonora","15.71"
"Guanajuato","15.38"
"San Luis Potosí","14.00"
"Baja California","11.62"
"Chiapas","7.93"
"Coahuila de Zaragoza","7.27"
"Hidalgo","5.88"
"Morelos","3.84"
"Baja California Sur","0.00"
"Campeche","0.00"
"Tlaxcala","0.00"
