"Estado","% Ocupación"
"Durango","77.14"
"Zacatecas","68.96"
"Coahuila de Zaragoza","68.64"
"Nuevo León","64.55"
"Chihuahua","61.57"
"Ciudad de México","59.35"
"Hidalgo","47.92"
"Guanajuato","47.55"
"Aguascalientes","47.03"
"México","46.25"
"Querétaro","39.58"
"Baja California","39.28"
"Sonora","33.73"
"Oaxaca","28.71"
"Guerrero","27.98"
"Nayarit","27.63"
"Michoacán de Ocampo","25.75"
"Puebla","24.28"
"San Luis Potosí","23.94"
"Jalisco","22.35"
"Sinaloa","21.54"
"Veracruz de Ignacio de La Llave","19.43"
"Tamaulipas","18.18"
"Colima","17.41"
"Morelos","16.36"
"Tabasco","16.34"
"Quintana Roo","14.55"
"Baja California Sur","13.44"
"Tlaxcala","12.63"
"Yucatán","11.48"
"Campeche","3.64"
"Chiapas","3.18"
