"Estado","% Ocupación"
"Ciudad de México","70.12"
"México","68.35"
"Guerrero","56.87"
"Tlaxcala","56.70"
"Sonora","56.06"
"Puebla","54.85"
"Tabasco","52.77"
"Baja California","50.80"
"Guanajuato","50.25"
"Morelos","47.76"
"Veracruz de Ignacio de La Llave","47.30"
"Sinaloa","42.05"
"Coahuila de Zaragoza","41.53"
"Hidalgo","40.86"
"Nayarit","40.82"
"Oaxaca","40.62"
"Colima","39.77"
"Chiapas","39.22"
"Michoacán de Ocampo","36.86"
"Nuevo León","31.85"
"Jalisco","30.04"
"Yucatán","28.53"
"Campeche","25.94"
"Tamaulipas","24.96"
"Durango","23.84"
"Querétaro","22.12"
"Quintana Roo","21.80"
"Aguascalientes","21.77"
"Chihuahua","18.66"
"San Luis Potosí","18.23"
"Zacatecas","14.17"
"Baja California Sur","9.12"
