"Estado","% Ocupación"
"Colima","87.50"
"Veracruz de Ignacio de La Llave","80.30"
"Querétaro","73.52"
"Sonora","69.56"
"Sinaloa","67.96"
"Puebla","66.66"
"Nayarit","66.66"
"Ciudad de México","64.70"
"México","58.96"
"Yucatán","56.60"
"Guanajuato","55.00"
"Guerrero","53.48"
"Baja California","52.00"
"Tabasco","51.38"
"Quintana Roo","50.81"
"Tlaxcala","50.00"
"Durango","50.00"
"Oaxaca","49.61"
"Nuevo León","48.82"
"Tamaulipas","46.61"
"San Luis Potosí","41.93"
"Michoacán de Ocampo","41.66"
"Chiapas","41.05"
"Aguascalientes","36.84"
"Jalisco","36.36"
"Coahuila de Zaragoza","31.25"
"Morelos","30.00"
"Zacatecas","28.57"
"Chihuahua","27.77"
"Campeche","17.24"
"Hidalgo","15.21"
"Baja California Sur","7.69"
