"Estado","% Ocupación"
"Colima","45.00"
"Aguascalientes","39.89"
"Ciudad de México","39.41"
"Nuevo León","35.22"
"Querétaro","31.72"
"Chihuahua","29.74"
"Coahuila de Zaragoza","27.86"
"Zacatecas","27.46"
"Oaxaca","25.92"
"México","24.78"
"Tabasco","23.90"
"Baja California","23.27"
"San Luis Potosí","22.80"
"Jalisco","21.80"
"Sinaloa","21.45"
"Michoacán de Ocampo","20.07"
"Baja California Sur","20.00"
"Durango","19.79"
"Guerrero","19.43"
"Puebla","18.98"
"Hidalgo","17.52"
"Yucatán","16.59"
"Veracruz de Ignacio de La Llave","16.40"
"Tamaulipas","15.98"
"Morelos","15.69"
"Nayarit","15.21"
"Quintana Roo","12.76"
"Tlaxcala","12.69"
"Sonora","10.15"
"Guanajuato","7.92"
"Chiapas","4.61"
"Campeche","2.15"
