"Estado","% Ocupación"
"Chihuahua","79.91"
"Durango","77.64"
"Coahuila de Zaragoza","72.83"
"Nuevo León","62.61"
"Ciudad de México","55.14"
"Aguascalientes","52.23"
"Zacatecas","44.87"
"Hidalgo","44.75"
"México","40.48"
"Querétaro","33.44"
"Guanajuato","33.12"
"Nayarit","32.54"
"Baja California","30.39"
"Oaxaca","27.53"
"Michoacán de Ocampo","26.39"
"Guerrero","26.38"
"San Luis Potosí","23.92"
"Sonora","23.17"
"Jalisco","22.42"
"Puebla","22.27"
"Veracruz de Ignacio de La Llave","20.66"
"Morelos","19.50"
"Colima","19.45"
"Quintana Roo","19.17"
"Sinaloa","18.87"
"Tamaulipas","17.07"
"Tabasco","14.80"
"Baja California Sur","13.74"
"Tlaxcala","13.45"
"Yucatán","10.72"
"Campeche","3.68"
"Chiapas","2.82"
