"Estado","% Ocupación"
"Ciudad de México","85.41"
"México","78.43"
"Guanajuato","67.00"
"Hidalgo","66.87"
"Nuevo León","64.51"
"Baja California","63.55"
"Sonora","53.53"
"Querétaro","50.46"
"Durango","45.16"
"Morelos","43.37"
"Coahuila de Zaragoza","42.98"
"Puebla","40.27"
"Oaxaca","36.96"
"Michoacán de Ocampo","36.61"
"Zacatecas","35.11"
"Aguascalientes","34.17"
"Jalisco","32.52"
"Tlaxcala","30.35"
"Guerrero","30.35"
"Tabasco","28.68"
"Nayarit","28.38"
"Chihuahua","25.84"
"Baja California Sur","25.31"
"Veracruz de Ignacio de La Llave","24.75"
"Tamaulipas","23.52"
"Sinaloa","21.07"
"San Luis Potosí","20.97"
"Quintana Roo","18.63"
"Colima","16.49"
"Yucatán","9.51"
"Chiapas","5.74"
"Campeche","3.69"
