"Estado","% Ocupación"
"Chihuahua","31.90"
"Yucatán","22.92"
"Tabasco","21.89"
"Tlaxcala","20.47"
"Ciudad de México","19.33"
"Querétaro","19.20"
"Aguascalientes","17.92"
"Michoacán de Ocampo","15.72"
"Baja California","15.63"
"Puebla","15.50"
"México","15.31"
"Baja California Sur","14.51"
"Morelos","14.00"
"Nuevo León","13.41"
"Tamaulipas","13.01"
"Quintana Roo","12.83"
"Colima","12.50"
"Durango","11.97"
"Guerrero","11.84"
"Nayarit","11.81"
"Oaxaca","11.37"
"Sinaloa","9.70"
"Jalisco","8.84"
"Hidalgo","8.73"
"Veracruz de Ignacio de La Llave","8.59"
"San Luis Potosí","8.33"
"Chiapas","5.82"
"Sonora","5.79"
"Zacatecas","5.52"
"Campeche","4.80"
"Coahuila de Zaragoza","4.46"
"Guanajuato","4.18"
