"Estado","% Ocupación"
"Nayarit","54.45"
"Colima","49.23"
"Ciudad de México","44.51"
"Nuevo León","44.15"
"Guerrero","38.01"
"Hidalgo","36.85"
"México","36.09"
"Michoacán de Ocampo","35.91"
"Veracruz de Ignacio de La Llave","33.58"
"Durango","30.09"
"Puebla","29.80"
"Coahuila de Zaragoza","28.42"
"Oaxaca","28.26"
"Baja California","26.95"
"Zacatecas","26.72"
"Sinaloa","25.30"
"Baja California Sur","24.34"
"Chihuahua","24.30"
"San Luis Potosí","23.52"
"Quintana Roo","22.92"
"Jalisco","22.86"
"Tabasco","22.81"
"Querétaro","22.64"
"Guanajuato","22.41"
"Morelos","22.22"
"Aguascalientes","22.14"
"Tamaulipas","21.45"
"Yucatán","20.09"
"Sonora","15.94"
"Tlaxcala","15.22"
"Chiapas","6.14"
"Campeche","4.58"
