"Estado","% Ocupación"
"Tlaxcala","100.00"
"Zacatecas","94.59"
"Ciudad de México","87.02"
"México","82.74"
"Querétaro","81.08"
"Nuevo León","68.05"
"Aguascalientes","67.85"
"Tabasco","60.71"
"Durango","56.25"
"Yucatán","52.77"
"Hidalgo","50.70"
"Oaxaca","47.12"
"Jalisco","45.93"
"Sinaloa","45.45"
"Morelos","43.13"
"Guanajuato","42.59"
"Puebla","41.66"
"Veracruz de Ignacio de La Llave","40.00"
"Michoacán de Ocampo","40.00"
"Sonora","37.87"
"Coahuila de Zaragoza","33.33"
"Chihuahua","30.82"
"Tamaulipas","27.95"
"Quintana Roo","24.24"
"Baja California","24.13"
"San Luis Potosí","22.72"
"Guerrero","21.34"
"Campeche","8.57"
"Chiapas","4.76"
"Colima","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
