"Estado","% Ocupación"
"Zacatecas","76.47"
"Tlaxcala","75.00"
"Querétaro","75.00"
"Ciudad de México","64.31"
"Aguascalientes","64.04"
"Nuevo León","62.61"
"Tamaulipas","59.83"
"Durango","58.92"
"Yucatán","54.00"
"Veracruz de Ignacio de La Llave","53.17"
"Baja California","48.95"
"Michoacán de Ocampo","47.91"
"Oaxaca","45.05"
"México","44.00"
"Jalisco","41.49"
"Puebla","41.46"
"Colima","39.13"
"Coahuila de Zaragoza","38.46"
"Quintana Roo","38.09"
"Chihuahua","35.36"
"Morelos","30.86"
"San Luis Potosí","30.55"
"Guanajuato","30.30"
"Hidalgo","30.12"
"Tabasco","29.60"
"Sinaloa","29.21"
"Guerrero","27.67"
"Sonora","21.79"
"Chiapas","21.59"
"Baja California Sur","17.94"
"Campeche","7.50"
"Nayarit","0.00"
