"Estado","% Ocupación"
"México","72.20"
"Ciudad de México","70.59"
"Guerrero","66.22"
"Morelos","54.90"
"Baja California","51.91"
"Chiapas","51.26"
"Tabasco","48.00"
"Hidalgo","45.03"
"Puebla","43.49"
"Tlaxcala","40.57"
"Sinaloa","39.58"
"Veracruz de Ignacio de La Llave","39.28"
"Sonora","37.70"
"Nayarit","37.25"
"Quintana Roo","31.78"
"Oaxaca","30.28"
"Yucatán","27.16"
"Colima","24.79"
"Chihuahua","22.04"
"Querétaro","21.39"
"Coahuila de Zaragoza","20.74"
"Nuevo León","18.97"
"Guanajuato","16.79"
"Michoacán de Ocampo","15.72"
"Jalisco","14.74"
"Campeche","14.18"
"Tamaulipas","12.25"
"Durango","11.56"
"Baja California Sur","10.69"
"Aguascalientes","10.19"
"San Luis Potosí","9.88"
"Zacatecas","8.43"
