"Estado","% Ocupación"
"Chihuahua","22.33"
"Yucatán","21.62"
"Quintana Roo","21.23"
"Tabasco","20.74"
"Nuevo León","19.24"
"Baja California Sur","16.94"
"Colima","16.39"
"Aguascalientes","15.24"
"Puebla","14.01"
"Oaxaca","13.88"
"Ciudad de México","13.41"
"Tamaulipas","13.20"
"Nayarit","12.79"
"Tlaxcala","12.72"
"Baja California","12.35"
"Guerrero","12.27"
"Sinaloa","12.12"
"México","11.87"
"Zacatecas","11.80"
"Michoacán de Ocampo","11.38"
"Coahuila de Zaragoza","11.20"
"Sonora","11.11"
"Veracruz de Ignacio de La Llave","10.02"
"Durango","9.52"
"Jalisco","9.11"
"Querétaro","8.96"
"San Luis Potosí","7.92"
"Morelos","7.23"
"Campeche","6.08"
"Hidalgo","4.94"
"Chiapas","3.69"
"Guanajuato","3.46"
