"Estado","% Ocupación"
"Ciudad de México","89.94"
"México","79.92"
"Nuevo León","74.18"
"Tlaxcala","62.50"
"Morelos","61.53"
"Baja California","59.41"
"Puebla","59.27"
"Hidalgo","58.64"
"Aguascalientes","53.81"
"Colima","53.33"
"Querétaro","52.36"
"Oaxaca","50.26"
"Jalisco","49.15"
"Coahuila de Zaragoza","47.75"
"San Luis Potosí","44.85"
"Veracruz de Ignacio de La Llave","44.66"
"Tabasco","42.37"
"Sonora","41.13"
"Guanajuato","40.61"
"Durango","40.40"
"Zacatecas","39.75"
"Sinaloa","39.63"
"Michoacán de Ocampo","37.63"
"Guerrero","35.38"
"Baja California Sur","33.15"
"Nayarit","33.07"
"Quintana Roo","27.46"
"Tamaulipas","22.52"
"Chihuahua","22.42"
"Yucatán","15.74"
"Chiapas","15.72"
"Campeche","3.87"
