"Estado","% Ocupación"
"Ciudad de México","44.58"
"Yucatán","35.02"
"Oaxaca","33.96"
"México","33.19"
"Querétaro","32.04"
"Tabasco","32.00"
"Chihuahua","30.34"
"Michoacán de Ocampo","28.26"
"Puebla","27.71"
"Aguascalientes","26.79"
"Colima","25.00"
"Tlaxcala","23.66"
"Veracruz de Ignacio de La Llave","23.05"
"Hidalgo","22.22"
"San Luis Potosí","21.00"
"Nuevo León","20.83"
"Durango","19.17"
"Morelos","16.98"
"Jalisco","15.64"
"Sinaloa","14.88"
"Tamaulipas","14.39"
"Guerrero","13.33"
"Baja California Sur","11.90"
"Sonora","11.19"
"Zacatecas","11.17"
"Nayarit","9.61"
"Guanajuato","9.61"
"Coahuila de Zaragoza","9.25"
"Chiapas","8.14"
"Baja California","7.29"
"Quintana Roo","6.96"
"Campeche","2.40"
