"Estado","% Ocupación"
"Baja California","64.74"
"México","60.31"
"Nuevo León","57.18"
"Ciudad de México","55.69"
"Sonora","50.19"
"Puebla","49.82"
"Tabasco","45.36"
"Guerrero","44.87"
"Sinaloa","43.57"
"Tlaxcala","39.84"
"Veracruz de Ignacio de La Llave","39.28"
"Colima","36.23"
"Chiapas","35.67"
"Oaxaca","35.07"
"Tamaulipas","34.91"
"Campeche","33.33"
"Jalisco","30.97"
"Yucatán","30.52"
"Aguascalientes","29.24"
"Quintana Roo","28.85"
"Querétaro","27.77"
"Coahuila de Zaragoza","26.63"
"San Luis Potosí","25.71"
"Nayarit","25.49"
"Morelos","23.02"
"Guanajuato","22.28"
"Durango","21.73"
"Hidalgo","20.81"
"Michoacán de Ocampo","20.50"
"Zacatecas","19.58"
"Baja California Sur","17.59"
"Chihuahua","17.33"
