"Estado","% Ocupación"
"Zacatecas","88.88"
"Tlaxcala","87.50"
"Ciudad de México","83.23"
"Querétaro","80.55"
"Yucatán","61.53"
"México","56.73"
"Morelos","52.11"
"Guanajuato","51.64"
"Oaxaca","49.05"
"Nuevo León","46.47"
"Puebla","43.47"
"San Luis Potosí","43.00"
"Jalisco","41.73"
"Durango","38.27"
"Hidalgo","34.42"
"Tamaulipas","33.33"
"Tabasco","30.88"
"Colima","30.00"
"Aguascalientes","29.31"
"Veracruz de Ignacio de La Llave","28.82"
"Sinaloa","28.44"
"Guerrero","27.58"
"Chihuahua","24.24"
"Michoacán de Ocampo","23.52"
"Quintana Roo","17.33"
"Baja California","14.28"
"Baja California Sur","14.28"
"Sonora","12.98"
"Coahuila de Zaragoza","11.11"
"Campeche","8.82"
"Chiapas","6.34"
"Nayarit","0.00"
