"Estado","% Ocupación"
"Querétaro","79.41"
"Ciudad de México","72.63"
"Yucatán","65.78"
"Oaxaca","62.61"
"México","52.40"
"Tlaxcala","50.00"
"Puebla","41.83"
"Morelos","41.42"
"Aguascalientes","36.20"
"Tabasco","33.33"
"San Luis Potosí","32.94"
"Veracruz de Ignacio de La Llave","30.53"
"Nuevo León","30.18"
"Tamaulipas","29.03"
"Jalisco","28.48"
"Michoacán de Ocampo","27.77"
"Sinaloa","27.02"
"Chihuahua","25.89"
"Hidalgo","25.39"
"Durango","23.37"
"Guanajuato","22.58"
"Guerrero","21.05"
"Zacatecas","20.00"
"Baja California","17.39"
"Quintana Roo","15.00"
"Sonora","13.69"
"Colima","11.11"
"Coahuila de Zaragoza","7.27"
"Chiapas","4.76"
"Nayarit","0.00"
"Campeche","0.00"
"Baja California Sur","0.00"
