"Estado","% Ocupación"
"Puebla","30.77"
"Morelos","26.80"
"Ciudad de México","25.24"
"Guerrero","23.15"
"México","22.83"
"Chihuahua","22.22"
"Durango","22.17"
"Hidalgo","19.13"
"Querétaro","18.82"
"Oaxaca","17.94"
"Sonora","17.61"
"Baja California Sur","17.34"
"Quintana Roo","16.83"
"Aguascalientes","16.32"
"Michoacán de Ocampo","15.43"
"Tabasco","14.51"
"Nuevo León","13.75"
"Tlaxcala","13.45"
"Veracruz de Ignacio de La Llave","13.09"
"Sinaloa","12.94"
"Colima","11.96"
"Nayarit","11.81"
"Tamaulipas","11.59"
"Yucatán","10.41"
"Jalisco","9.64"
"Zacatecas","8.90"
"Guanajuato","8.42"
"San Luis Potosí","7.90"
"Baja California","7.18"
"Coahuila de Zaragoza","4.98"
"Chiapas","3.88"
"Campeche","3.40"
