"Estado","% Ocupación"
"Zacatecas","90.24"
"Tlaxcala","87.50"
"Ciudad de México","87.11"
"Querétaro","80.55"
"México","71.17"
"Nuevo León","65.72"
"Yucatán","61.76"
"Hidalgo","54.54"
"Aguascalientes","53.92"
"Durango","51.66"
"Sinaloa","50.00"
"Tabasco","48.80"
"Morelos","48.00"
"Sonora","46.77"
"Guanajuato","40.54"
"Oaxaca","40.42"
"Jalisco","40.05"
"Puebla","36.48"
"Michoacán de Ocampo","35.71"
"Coahuila de Zaragoza","35.08"
"Chihuahua","34.61"
"Tamaulipas","33.33"
"Baja California","31.25"
"Veracruz de Ignacio de La Llave","29.86"
"San Luis Potosí","25.00"
"Guerrero","21.11"
"Quintana Roo","15.29"
"Campeche","11.76"
"Baja California Sur","11.11"
"Colima","5.26"
"Chiapas","3.03"
"Nayarit","0.00"
