"Estado","% Ocupación"
"Durango","79.54"
"Chihuahua","71.57"
"Coahuila de Zaragoza","69.59"
"Nuevo León","64.81"
"Zacatecas","63.33"
"Ciudad de México","56.76"
"Hidalgo","47.61"
"Aguascalientes","47.47"
"México","45.32"
"Guanajuato","41.35"
"Querétaro","33.33"
"Guerrero","26.69"
"Baja California","26.21"
"Sonora","26.05"
"Michoacán de Ocampo","25.87"
"Oaxaca","25.77"
"Nayarit","24.46"
"San Luis Potosí","23.93"
"Jalisco","22.87"
"Puebla","22.81"
"Veracruz de Ignacio de La Llave","19.52"
"Tabasco","18.94"
"Sinaloa","18.62"
"Tamaulipas","17.59"
"Morelos","16.12"
"Colima","14.50"
"Quintana Roo","14.40"
"Baja California Sur","14.33"
"Tlaxcala","10.93"
"Yucatán","9.86"
"Chiapas","4.24"
"Campeche","1.68"
