"Estado","% Ocupación"
"Durango","70.48"
"Ciudad de México","67.88"
"Guanajuato","63.53"
"Nuevo León","61.27"
"México","58.59"
"Coahuila de Zaragoza","58.21"
"Hidalgo","56.86"
"Zacatecas","54.05"
"Aguascalientes","47.20"
"Chihuahua","44.12"
"Baja California","41.64"
"Querétaro","40.12"
"Sonora","39.69"
"Michoacán de Ocampo","28.23"
"Morelos","27.37"
"Puebla","26.74"
"Oaxaca","24.94"
"San Luis Potosí","24.17"
"Jalisco","24.10"
"Guerrero","22.92"
"Tamaulipas","21.57"
"Nayarit","19.33"
"Tabasco","18.09"
"Veracruz de Ignacio de La Llave","17.08"
"Baja California Sur","16.49"
"Sinaloa","15.96"
"Colima","15.34"
"Tlaxcala","14.55"
"Quintana Roo","13.75"
"Yucatán","11.10"
"Chiapas","3.59"
"Campeche","3.01"
