"Estado","% Ocupación"
"Tabasco","79.43"
"Nuevo León","77.50"
"Nayarit","72.18"
"Puebla","64.68"
"Guanajuato","64.53"
"Veracruz de Ignacio de La Llave","61.43"
"Sonora","58.48"
"Coahuila de Zaragoza","55.18"
"Colima","53.15"
"Ciudad de México","51.18"
"México","50.86"
"Tlaxcala","50.71"
"Tamaulipas","49.10"
"Sinaloa","47.60"
"Hidalgo","45.90"
"Baja California","44.66"
"Quintana Roo","40.99"
"Chiapas","39.61"
"Oaxaca","39.38"
"Baja California Sur","37.16"
"Guerrero","35.18"
"Campeche","34.48"
"Yucatán","33.95"
"San Luis Potosí","30.82"
"Durango","29.61"
"Aguascalientes","27.49"
"Michoacán de Ocampo","25.03"
"Morelos","24.81"
"Jalisco","24.69"
"Chihuahua","21.62"
"Zacatecas","20.11"
"Querétaro","17.45"
