"Estado","% Ocupación"
"Nayarit","100.00"
"Tlaxcala","87.50"
"Zacatecas","80.95"
"Colima","80.00"
"Veracruz de Ignacio de La Llave","71.87"
"Querétaro","71.87"
"Nuevo León","65.91"
"Oaxaca","65.00"
"Tamaulipas","64.42"
"Ciudad de México","62.17"
"Tabasco","59.47"
"Sinaloa","58.13"
"Yucatán","57.89"
"Quintana Roo","54.34"
"Durango","54.34"
"Puebla","53.65"
"Baja California","53.12"
"Guanajuato","51.68"
"México","50.84"
"Aguascalientes","46.93"
"Sonora","38.14"
"Chiapas","35.48"
"Jalisco","35.36"
"Michoacán de Ocampo","35.00"
"Coahuila de Zaragoza","32.50"
"San Luis Potosí","30.55"
"Guerrero","30.35"
"Morelos","30.00"
"Hidalgo","29.67"
"Baja California Sur","29.03"
"Chihuahua","27.63"
"Campeche","13.15"
