"Estado","% Ocupación"
"Querétaro","78.78"
"Veracruz de Ignacio de La Llave","76.10"
"Ciudad de México","75.70"
"Tlaxcala","75.00"
"México","72.63"
"Morelos","71.42"
"Sonora","70.23"
"Baja California","61.53"
"Guerrero","54.87"
"Oaxaca","54.34"
"Sinaloa","52.50"
"Puebla","50.00"
"Yucatán","49.05"
"San Luis Potosí","45.94"
"Tabasco","44.16"
"Zacatecas","42.85"
"Colima","42.85"
"Guanajuato","42.37"
"Michoacán de Ocampo","41.17"
"Coahuila de Zaragoza","40.00"
"Nuevo León","38.11"
"Chihuahua","35.06"
"Aguascalientes","35.00"
"Chiapas","34.84"
"Jalisco","33.76"
"Quintana Roo","32.35"
"Durango","29.41"
"Tamaulipas","23.07"
"Hidalgo","11.76"
"Campeche","9.52"
"Baja California Sur","7.69"
"Nayarit","0.00"
