"Estado","% Ocupación"
"Chihuahua","34.63"
"Tabasco","28.65"
"Baja California Sur","20.96"
"Yucatán","20.32"
"Ciudad de México","18.89"
"Colima","18.64"
"Tlaxcala","17.21"
"Aguascalientes","17.15"
"Morelos","16.03"
"Tamaulipas","14.28"
"Michoacán de Ocampo","14.22"
"Querétaro","14.13"
"Baja California","13.94"
"Durango","13.76"
"Puebla","13.68"
"México","13.57"
"Quintana Roo","13.33"
"Guerrero","11.68"
"Nuevo León","11.57"
"Sinaloa","11.34"
"Oaxaca","11.22"
"Nayarit","10.52"
"Jalisco","9.33"
"Zacatecas","8.64"
"Veracruz de Ignacio de La Llave","8.26"
"Hidalgo","7.46"
"San Luis Potosí","7.04"
"Chiapas","4.26"
"Campeche","3.90"
"Sonora","3.57"
"Guanajuato","3.51"
"Coahuila de Zaragoza","3.44"
