"Estado","% Ocupación"
"Zacatecas","85.18"
"Querétaro","75.00"
"Durango","68.65"
"Yucatán","66.00"
"Nuevo León","64.31"
"Ciudad de México","63.10"
"Tlaxcala","62.50"
"Tamaulipas","61.90"
"Aguascalientes","53.57"
"Veracruz de Ignacio de La Llave","49.37"
"Baja California","45.36"
"Chihuahua","43.29"
"Michoacán de Ocampo","42.55"
"Puebla","42.35"
"Jalisco","40.80"
"Hidalgo","40.32"
"Coahuila de Zaragoza","37.20"
"México","37.00"
"Oaxaca","36.08"
"Quintana Roo","33.33"
"Sinaloa","28.57"
"San Luis Potosí","27.67"
"Guanajuato","26.60"
"Tabasco","26.31"
"Sonora","25.00"
"Morelos","25.00"
"Guerrero","23.21"
"Colima","16.66"
"Chiapas","11.39"
"Campeche","7.50"
"Nayarit","0.00"
"Baja California Sur","0.00"
