"Estado","% Ocupación"
"Ciudad de México","43.35"
"Colima","41.58"
"Aguascalientes","41.50"
"Nuevo León","37.01"
"Chihuahua","31.44"
"Zacatecas","28.30"
"Querétaro","28.27"
"México","28.20"
"Oaxaca","26.74"
"Baja California","25.71"
"Baja California Sur","24.39"
"Coahuila de Zaragoza","24.03"
"Jalisco","22.86"
"San Luis Potosí","22.52"
"Sinaloa","22.50"
"Tabasco","21.89"
"Nayarit","20.68"
"Durango","19.80"
"Michoacán de Ocampo","19.78"
"Puebla","19.53"
"Guerrero","19.20"
"Tamaulipas","18.06"
"Yucatán","17.98"
"Hidalgo","17.81"
"Morelos","17.61"
"Veracruz de Ignacio de La Llave","17.32"
"Tlaxcala","15.07"
"Quintana Roo","14.22"
"Guanajuato","8.45"
"Sonora","7.40"
"Chiapas","4.92"
"Campeche","2.16"
