"Estado","% Ocupación"
"Chihuahua","60.82"
"Durango","56.47"
"Nuevo León","53.44"
"Aguascalientes","52.50"
"Ciudad de México","46.34"
"Zacatecas","45.62"
"Coahuila de Zaragoza","40.66"
"Oaxaca","31.37"
"Baja California","31.25"
"Querétaro","30.74"
"México","29.83"
"San Luis Potosí","27.93"
"Colima","24.00"
"Sinaloa","23.68"
"Morelos","22.90"
"Hidalgo","22.26"
"Baja California Sur","21.34"
"Guerrero","21.33"
"Michoacán de Ocampo","20.80"
"Jalisco","19.79"
"Veracruz de Ignacio de La Llave","17.80"
"Tabasco","17.30"
"Tamaulipas","14.88"
"Tlaxcala","13.95"
"Puebla","13.12"
"Sonora","12.75"
"Yucatán","11.11"
"Guanajuato","10.71"
"Nayarit","9.93"
"Quintana Roo","6.63"
"Chiapas","2.11"
"Campeche","1.08"
