"Estado","% Ocupación"
"Chihuahua","38.88"
"Tabasco","34.56"
"Ciudad de México","34.35"
"Aguascalientes","26.06"
"Puebla","23.28"
"México","21.48"
"Hidalgo","20.85"
"Tlaxcala","20.63"
"Michoacán de Ocampo","19.41"
"Baja California Sur","18.32"
"Yucatán","17.82"
"Querétaro","17.60"
"Oaxaca","16.58"
"Durango","16.15"
"Nayarit","15.88"
"Sonora","15.70"
"Veracruz de Ignacio de La Llave","15.56"
"Colima","15.47"
"Nuevo León","15.09"
"Guerrero","14.54"
"Sinaloa","13.50"
"Jalisco","12.96"
"Morelos","12.50"
"San Luis Potosí","11.50"
"Zacatecas","9.71"
"Tamaulipas","9.35"
"Baja California","9.21"
"Quintana Roo","8.33"
"Guanajuato","5.69"
"Chiapas","5.11"
"Coahuila de Zaragoza","4.52"
"Campeche","3.87"
