"Estado","% Ocupación"
"Nuevo León","55.95"
"Colima","52.68"
"Aguascalientes","48.66"
"Yucatán","47.39"
"Baja California","43.94"
"San Luis Potosí","42.92"
"Tlaxcala","42.10"
"Ciudad de México","41.72"
"México","36.85"
"Tamaulipas","35.63"
"Zacatecas","35.11"
"Puebla","34.79"
"Nayarit","34.71"
"Jalisco","33.33"
"Quintana Roo","33.33"
"Veracruz de Ignacio de La Llave","33.26"
"Querétaro","32.97"
"Tabasco","32.21"
"Baja California Sur","31.06"
"Oaxaca","27.34"
"Coahuila de Zaragoza","27.23"
"Sinaloa","26.75"
"Hidalgo","26.54"
"Durango","25.00"
"Michoacán de Ocampo","23.10"
"Morelos","20.12"
"Guerrero","19.00"
"Sonora","18.91"
"Guanajuato","17.51"
"Chihuahua","17.11"
"Chiapas","14.90"
"Campeche","12.23"
