"Estado","% Ocupación"
"Quintana Roo","34.57"
"Baja California Sur","32.02"
"Tabasco","25.70"
"Durango","25.00"
"Nuevo León","23.30"
"Tamaulipas","21.29"
"Nayarit","19.81"
"Yucatán","17.44"
"Baja California","16.66"
"Oaxaca","16.66"
"Chihuahua","15.65"
"Colima","15.45"
"Sinaloa","14.87"
"Sonora","14.72"
"Hidalgo","14.47"
"Ciudad de México","14.46"
"Veracruz de Ignacio de La Llave","14.28"
"Puebla","13.77"
"Jalisco","12.81"
"Aguascalientes","12.13"
"Coahuila de Zaragoza","12.13"
"Guerrero","11.01"
"México","10.75"
"Morelos","8.42"
"Michoacán de Ocampo","8.34"
"Zacatecas","7.69"
"Querétaro","6.91"
"Tlaxcala","6.04"
"Campeche","5.85"
"Guanajuato","4.03"
"San Luis Potosí","3.79"
"Chiapas","3.65"
