"Estado","% Ocupación"
"Chihuahua","81.81"
"Durango","76.96"
"Coahuila de Zaragoza","68.86"
"Nuevo León","62.54"
"Ciudad de México","51.73"
"Aguascalientes","51.26"
"México","41.18"
"Hidalgo","40.13"
"Zacatecas","35.32"
"Baja California","30.57"
"Querétaro","29.33"
"Nayarit","28.30"
"Guanajuato","27.85"
"Oaxaca","26.05"
"Michoacán de Ocampo","25.20"
"Guerrero","23.64"
"Sonora","21.65"
"Jalisco","21.20"
"Sinaloa","20.98"
"Colima","20.60"
"Puebla","20.15"
"Veracruz de Ignacio de La Llave","18.69"
"San Luis Potosí","18.51"
"Tamaulipas","17.67"
"Morelos","16.51"
"Tabasco","14.34"
"Quintana Roo","14.16"
"Baja California Sur","12.67"
"Yucatán","10.85"
"Tlaxcala","8.06"
"Campeche","3.74"
"Chiapas","3.33"
