"Estado","% Ocupación"
"Nayarit","57.07"
"Nuevo León","56.38"
"Hidalgo","49.15"
"Colima","48.20"
"Ciudad de México","46.42"
"Coahuila de Zaragoza","41.25"
"Veracruz de Ignacio de La Llave","39.49"
"Michoacán de Ocampo","38.53"
"México","36.95"
"Durango","36.21"
"Aguascalientes","34.31"
"Puebla","33.64"
"Tamaulipas","32.84"
"Zacatecas","32.20"
"Sinaloa","32.18"
"Guerrero","30.86"
"Querétaro","30.52"
"Baja California","29.30"
"Guanajuato","28.87"
"Yucatán","27.76"
"Oaxaca","27.12"
"Quintana Roo","25.36"
"Baja California Sur","25.08"
"San Luis Potosí","24.58"
"Chihuahua","24.35"
"Morelos","24.26"
"Tabasco","23.62"
"Jalisco","23.00"
"Sonora","21.05"
"Tlaxcala","11.79"
"Campeche","10.97"
"Chiapas","8.59"
