"Estado","% Ocupación"
"Durango","79.41"
"Coahuila de Zaragoza","66.88"
"Nuevo León","66.00"
"Zacatecas","62.75"
"Ciudad de México","59.80"
"Chihuahua","59.79"
"Hidalgo","50.00"
"Aguascalientes","48.53"
"México","44.81"
"Guanajuato","44.22"
"Querétaro","39.20"
"Baja California","36.64"
"Sonora","31.26"
"Oaxaca","31.25"
"Guerrero","29.61"
"Nayarit","27.92"
"Michoacán de Ocampo","26.81"
"Puebla","24.58"
"San Luis Potosí","22.97"
"Sinaloa","22.06"
"Jalisco","21.79"
"Veracruz de Ignacio de La Llave","21.36"
"Tamaulipas","19.02"
"Colima","18.18"
"Tabasco","16.66"
"Morelos","16.59"
"Baja California Sur","13.99"
"Quintana Roo","12.94"
"Yucatán","10.90"
"Tlaxcala","10.24"
"Campeche","3.18"
"Chiapas","3.03"
